year,sex,age,distribution,parameter-description,parameter-1,parameter-2,parameter-3,parameter-4
,M,56,Bernoulli,p,0.000000001,,,
,M,57,Bernoulli,p,0.000000001,,,
,M,58,Bernoulli,p,0.000000001,,,
,M,59,Bernoulli,p,0.000000001,,,
,M,60,Bernoulli,p,0.000000001,,,
,M,61,Bernoulli,p,0.000000001,,,
,M,62,Bernoulli,p,0.000000001,,,
,M,63,Bernoulli,p,0.000000001,,,
,M,64,Bernoulli,p,0.000000001,,,
,M,65,Bernoulli,p,0.000000001,,,
,M,66,Bernoulli,p,0.000000001,,,
,M,67,Bernoulli,p,0.000000001,,,
,M,68,Bernoulli,p,0.000000001,,,
,M,69,Bernoulli,p,0.000000001,,,
,M,70,Bernoulli,p,0.000000001,,,
,M,71,Bernoulli,p,0.000000001,,,
,M,72,Bernoulli,p,0.000000001,,,
,M,73,Bernoulli,p,0.000000001,,,
,M,74,Bernoulli,p,0.000000001,,,
,M,75,Bernoulli,p,0.000000001,,,
,M,76,Bernoulli,p,0.000000001,,,
,M,77,Bernoulli,p,0.000000001,,,
,M,78,Bernoulli,p,0.000000001,,,
,M,79,Bernoulli,p,0.000000001,,,
,M,80,Bernoulli,p,0.000000001,,,
,M,81,Bernoulli,p,0.000000001,,,
,M,82,Bernoulli,p,0.000000001,,,
,M,83,Bernoulli,p,0.000000001,,,
,M,84,Bernoulli,p,0.000000001,,,
,M,85,Bernoulli,p,0.000000001,,,
,M,86,Bernoulli,p,0.000000001,,,
,M,87,Bernoulli,p,0.000000001,,,
,M,88,Bernoulli,p,0.000000001,,,
,M,89,Bernoulli,p,0.000000001,,,
,M,90,Bernoulli,p,0.000000001,,,
,F,0,Bernoulli,p,0.000000001,,,
,F,1,Bernoulli,p,0.000000001,,,
,F,2,Bernoulli,p,0.000000001,,,
,F,3,Bernoulli,p,0.000000001,,,
,F,4,Bernoulli,p,0.000000001,,,
,F,5,Bernoulli,p,0.000000001,,,
,F,6,Bernoulli,p,0.000000001,,,
,F,7,Bernoulli,p,0.000000001,,,
,F,8,Bernoulli,p,0.000000001,,,
,F,9,Bernoulli,p,0.000000001,,,
,F,10,Bernoulli,p,0.000000001,,,
,F,11,Bernoulli,p,0.000000001,,,
,F,12,Bernoulli,p,0.000000001,,,
,F,13,Bernoulli,p,0.000000001,,,
,F,14,Bernoulli,p,0.000000001,,,
,F,15,Bernoulli,p,0.000000001,,,
,F,16,Bernoulli,p,0.000000001,,,
,F,17,Bernoulli,p,0.000000001,,,
,F,18,Bernoulli,p,0.000000001,,,
,F,19,Bernoulli,p,0.000000001,,,
,F,20,Bernoulli,p,0.000000001,,,
,F,21,Bernoulli,p,0.000000001,,,
,F,22,Bernoulli,p,0.000000001,,,
,F,23,Bernoulli,p,0.000000001,,,
,F,24,Bernoulli,p,0.000000001,,,
,F,25,Bernoulli,p,0.000000001,,,
,F,26,Bernoulli,p,0.000000001,,,
,F,27,Bernoulli,p,0.000000001,,,
,F,28,Bernoulli,p,0.000000001,,,
,F,29,Bernoulli,p,0.000000001,,,
,F,30,Bernoulli,p,0.000000001,,,
,F,31,Bernoulli,p,0.000000001,,,
,F,32,Bernoulli,p,0.000000001,,,
,F,33,Bernoulli,p,0.000000001,,,
,F,34,Bernoulli,p,0.000000001,,,
,F,35,Bernoulli,p,0.000000001,,,
,F,36,Bernoulli,p,0.000000001,,,
,F,37,Bernoulli,p,0.000000001,,,
,F,38,Bernoulli,p,0.000000001,,,
,F,39,Bernoulli,p,0.000000001,,,
,F,40,Bernoulli,p,0.000000001,,,
,F,41,Bernoulli,p,0.000000001,,,
,F,42,Bernoulli,p,0.000000001,,,
,F,43,Bernoulli,p,0.000000001,,,
,F,44,Bernoulli,p,0.000000001,,,
,F,45,Bernoulli,p,0.000000001,,,
,F,46,Bernoulli,p,0.000000001,,,
,F,47,Bernoulli,p,0.000000001,,,
,F,48,Bernoulli,p,0.000000001,,,
,F,49,Bernoulli,p,0.000000001,,,
,F,50,Bernoulli,p,0.000000001,,,
,F,51,Bernoulli,p,0.000000001,,,
,F,52,Bernoulli,p,0.000000001,,,
,F,53,Bernoulli,p,0.000000001,,,
,F,54,Bernoulli,p,0.000000001,,,
,F,55,Bernoulli,p,0.000000001,,,
,F,56,Bernoulli,p,0.000000001,,,
,F,57,Bernoulli,p,0.000000001,,,
,F,58,Bernoulli,p,0.000000001,,,
,F,59,Bernoulli,p,0.000000001,,,
,F,60,Bernoulli,p,0.000000001,,,
,F,61,Bernoulli,p,0.000000001,,,
,F,62,Bernoulli,p,0.000000001,,,
,F,63,Bernoulli,p,0.000000001,,,
,F,64,Bernoulli,p,0.000000001,,,
,F,65,Bernoulli,p,0.000000001,,,
,F,66,Bernoulli,p,0.000000001,,,
,F,67,Bernoulli,p,0.000000001,,,
,F,68,Bernoulli,p,0.000000001,,,
,F,69,Bernoulli,p,0.000000001,,,
,F,70,Bernoulli,p,0.000000001,,,
,F,71,Bernoulli,p,0.000000001,,,
,F,72,Bernoulli,p,0.000000001,,,
,F,73,Bernoulli,p,0.000000001,,,
,F,74,Bernoulli,p,0.000000001,,,
,F,75,Bernoulli,p,0.000000001,,,
,F,76,Bernoulli,p,0.000000001,,,
,F,77,Bernoulli,p,0.000000001,,,
,F,78,Bernoulli,p,0.000000001,,,
,F,79,Bernoulli,p,0.000000001,,,
,F,80,Bernoulli,p,0.000000001,,,
,F,81,Bernoulli,p,0.000000001,,,
,F,82,Bernoulli,p,0.000000001,,,
,F,83,Bernoulli,p,0.000000001,,,
,F,84,Bernoulli,p,0.000000001,,,
,F,85,Bernoulli,p,0.000000001,,,
,F,86,Bernoulli,p,0.000000001,,,
,F,87,Bernoulli,p,0.000000001,,,
,F,88,Bernoulli,p,0.000000001,,,
,F,89,Bernoulli,p,0.000000001,,,
,F,90,Bernoulli,p,0.000000001,,,
